sgRNA	Gene	MDA-MB-231-Reference	MDA-MB-231-Baseline	MDA-MB-231-Vehicle-1	MDA-MB-231-Vehicle-2	MDA-MB-231-Cpd-1	MDA-MB-231-Cpd-2
sg_10876_1	EDDM3A	3475	5031	4603	6072	4410	3778
sg_1294_4	COL7A1	1076	1102	1097	741	1481	1735
sg_55676_3	SLC30A6	2192	2311	2551	3244	2226	2499
sg_2113_1	ETS1	1090	1481	1049	965	1479	1324
sg_349149_4	GJC3	1878	2601	1949	1705	3552	2957
sg_80896_4	NPL	1788	2248	2005	2630	1773	2806
sg_83853_3	ROPN1L	1719	2185	2608	4031	4322	3593
sg_79657_1	RPAP3	926	223	33	7	15	1
sg_134637_4	ADAT2	1638	1713	54	161	14	129
sg_54361_4	WNT4	1161	1385	1551	1782	1641	1921
sg_101929983_2	LOC101929983	1886	2326	1419	1943	3413	3073
sg_84649_4	DGAT2	1315	1420	1418	3934	793	1469
sg_54867_4	TMEM214	1037	990	1189	1983	1495	947
sg_8875_2	VNN2	3204	3142	4473	4173	4583	2878
sg_375790_3	AGRN	1511	2331	2085	2721	2872	2222
sg_340527_4	NHSL2	2171	2878	2398	4740	2588	3485
sg_130888_3	FBXO36	2913	3117	4905	7094	6372	8177
sg_388611_2	CD164L2	963	839	629	1036	200	1056
sg_390066_2	OR52D1	2513	3366	3185	5860	4630	3411
sg_203859_2	ANO5	3092	3615	3350	4388	3832	3686
sg_NTC_208	Non_Targeting_Control_208	2210	2945	4519	7088	5269	5147
sg_3418_1	IDH2	895	1010	897	1498	1482	1421
sg_346653_3	FAM71F2	3454	4496	4315	7192	6179	4861
sg_253314_3	EIF4E1B	1327	1460	423	501	418	733
sg_51380_2	CSAD	2306	1248	1307	1818	1944	1073
sg_115548_1	FCHO2	1472	881	277	715	641	774
sg_388931_2	MFSD2B	1274	1484	1549	2309	2522	1298
sg_84541_2	KBTBD8	1696	1581	1368	1117	1411	915
sg_6311_1	ATXN2	1486	1768	3920	5547	3210	3415
sg_2568_4	GABRP	697	891	935	2572	1750	1131
sg_3563_2	IL3RA	2332	3268	2749	4480	3512	2670
sg_51175_4	TUBE1	1242	1063	42	118	18	101
sg_1437_1	CSF2	3607	3659	2591	4418	4944	2869
sg_54964_4	C1orf56	1220	1009	750	1227	808	829
sg_1174_2	AP1S1	1635	2597	1988	2975	2319	2765
sg_114112_3	TXNRD3	2323	2848	3196	3169	3671	3674
sg_9244_1	CRLF1	1433	1606	1517	1457	1002	776
sg_29951_1	PDZRN4	3274	2721	2407	3001	1878	3353
sg_222255_2	ATXN7L1	3068	3350	4048	5844	2838	2821
sg_89790_4	SIGLEC10	924	1070	1575	1885	1430	1153
sg_1581_2	CYP7A1	1583	1555	1209	1149	1040	801
sg_9736_1	USP34	1778	1928	917	1897	1148	1029
sg_11334_2	TUSC2	860	1077	896	1409	1164	1102
sg_526_3	ATP6V1B2	698	252	0	0	0	0
sg_123263_1	MTFMT	697	739	276	295	684	938
sg_284076_1	TTLL6	1931	2143	1732	1931	2767	1654
sg_641371_2	ACOT1	639	648	1479	1313	1749	1637
sg_11171_2	STRAP	1534	805	7	0	62	8
sg_55184_1	DZANK1	1147	1928	3897	3546	3012	5151
sg_79719_1	AAGAB	3334	3393	455	294	788	250
sg_51366_2	UBR5	951	836	334	516	108	498
sg_4745_3	NELL1	4840	6349	6956	11362	7372	7909
sg_2650_1	GCNT1	925	1059	452	454	827	288
sg_257106_1	ARHGAP30	835	1212	1558	2078	1487	1137
sg_2339_2	FNTA	4114	1457	0	0	0	0
sg_341947_4	COX8C	2627	3696	4241	8547	4703	5217
sg_79786_4	KLHL36	2218	2217	3171	3626	3650	4040
sg_967_2	CD63	1870	2313	3552	2634	2285	2941
sg_NTC_886	Non_Targeting_Control_886	2572	3871	5737	6669	6406	5942
sg_9118_4	INA	1124	1492	1786	3158	2057	1740
sg_126792_2	B3GALT6	1656	2647	3239	5643	3257	4176
sg_54497_3	HEATR5B	1372	1699	1302	1540	2010	3100
sg_64711_1	HS3ST6	1412	1875	1977	2109	2428	3361
sg_10870_1	HCST	538	659	1160	1041	1400	399
sg_7182_4	NR2C2	1960	1744	1088	1385	940	725
sg_260425_2	MAGI3	3468	2541	1417	3427	1553	2404
sg_5986_3	RFNG	2525	3601	3065	4688	3192	3468
sg_284391_2	ZNF844	2717	2548	3095	2837	2676	3937
sg_6696_1	SPP1	2326	3176	3220	6285	6107	6097
sg_53345_1	TM6SF2	2868	3015	1855	2695	2977	1967
sg_200132_1	TCTEX1D1	3298	4538	5082	7293	6119	7430
sg_83871_3	RAB34	2064	2753	3774	5038	4609	3320
sg_55286_2	C4orf19	3622	6051	8573	14022	11738	11197
sg_135935_3	NOBOX	1273	1978	2993	4492	2901	3899
sg_55788_4	LMBRD1	1792	2431	1627	2636	2208	2109
sg_203054_3	ADCK5	4173	5479	5334	8166	5442	6490
sg_223075_3	CCDC129	2926	3732	3396	5495	5428	4409
sg_143570_1	XRRA1	927	975	1066	2036	931	1064
sg_5906_2	RAP1A	1652	1849	1691	2206	2991	2499
sg_2196_3	FAT2	2174	2819	1694	2731	3326	3092
sg_11199_4	ANXA10	2686	3328	2478	3734	3465	3613
sg_28512_1	NKIRAS1	1266	1421	1725	1958	2655	1254
sg_100133251_3	PRR23D2	1392	1686	1441	2549	1495	1446
sg_2165_4	F13B	1938	2597	2228	4151	2558	2195
sg_257106_3	ARHGAP30	1208	1118	669	655	872	706
sg_286097_4	MICU3	914	1427	1135	1242	1201	1643
sg_729288_1	ZNF286B	2860	4389	5114	6541	5073	4789
sg_201514_2	ZNF584	1496	1648	2032	3020	1553	3558
sg_10190_2	TXNDC9	1045	831	907	1493	1739	650
sg_23562_2	CLDN14	1350	1989	2939	4319	3461	3632
sg_79879_2	CCDC134	2367	2972	1982	3211	3335	2364
sg_51255_1	RNF181	504	628	676	861	994	1306
sg_117144_4	CATSPER1	1066	1392	1528	1939	1098	988
sg_441272_3	SPDYE3	1299	821	402	1436	1607	1851
sg_10479_2	SLC9A6	1400	2443	1906	3671	1573	2120
sg_254910_4	LCE5A	3732	5105	2910	4813	3702	4053
sg_9584_3	RBM39	2267	109	5	0	9	0
sg_9100_2	USP10	2980	3097	4757	6415	6479	7745
sg_51333_1	ZNF771	3426	4895	7928	9965	9818	10144
sg_79630_1	C1orf54	1778	1318	1764	1716	1391	1480
sg_84295_2	PHF6	2713	3971	2352	2852	2946	2305
sg_5757_1	PTMA	2509	1136	227	248	142	8
sg_1350_4	COX7C	498	110	0	0	0	0
sg_10553_1	HTATIP2	3566	3816	2512	4586	3870	3720
sg_8079_3	MLF2	2314	2039	1765	1972	1690	2429
sg_57221_4	ARFGEF3	2211	2829	2613	3298	3561	4053
sg_NTC_432	Non_Targeting_Control_432	1770	2857	3093	5759	5462	5666
sg_6447_1	SCG5	1838	1211	643	1358	1086	1089
sg_1459_4	CSNK2A2	645	436	379	1583	1378	1290
sg_51073_1	MRPL4	1608	1551	307	313	218	234
sg_6904_1	TBCD	5645	6289	983	1432	1241	1422
sg_389072_2	PLEKHM3	1682	1490	699	1014	698	790
sg_391723_1	HELT	818	1251	890	1807	1957	1192
sg_801_1	CALM1	996	945	441	432	151	355
sg_157695_1	TDRP	3720	5221	5356	7686	5176	4778
sg_79447_2	PAGR1	1437	1918	1928	4179	3950	3912
sg_7114_4	TMSB4X	1733	2975	4857	7956	5725	6323
sg_348738_1	C2orf48	3678	5245	5155	7408	7250	8138
sg_3191_2	HNRNPL	1001	1017	163	116	133	370
sg_8835_1	SOCS2	2111	1721	1929	2775	2161	2439
sg_55315_1	SLC29A3	3237	4213	4337	5158	3648	6546
sg_1635_2	DCTD	2948	4085	5782	8483	6834	8603
sg_84915_2	FAM222A	3334	2478	2210	2829	2679	2222
sg_81399_4	OR4F16	1306	449	0	0	0	107
sg_28956_2	LAMTOR2	3742	2968	558	899	674	722
sg_4799_1	NFX1	1005	835	1129	1501	818	1144
sg_146330_4	FBXL16	3099	3125	2274	4544	3061	3009
sg_23208_4	SYT11	1478	1721	1855	2755	1665	2016
sg_9889_2	ZBED4	2723	4079	7000	10411	5161	5933
sg_390664_4	C1QTNF8	1182	1329	869	1075	1361	1139
sg_26024_3	PTCD1	1134	1415	224	180	107	34
sg_390790_4	ARL5C	1749	1431	1079	1685	620	841
sg_161742_4	SPRED1	2004	2098	2443	3280	3702	2160
sg_93010_2	B3GNT7	1351	2440	2750	4405	2481	2773
sg_26574_4	AATF	1077	1050	912	873	1539	1231
sg_81578_3	COL21A1	1588	1853	2298	5109	3199	2645
sg_126638_1	RPTN	293	389	243	580	198	253
sg_NTC_487	Non_Targeting_Control_487	3004	4730	5873	11121	9008	8584
sg_4582_2	MUC1	1996	2388	1652	3473	2234	2314
sg_3190_2	HNRNPK	2252	231	0	0	49	0
sg_80110_1	ZNF614	1100	1303	884	1132	1210	948
sg_83795_1	KCNK16	2341	2123	1736	2872	3032	2374
sg_84891_3	ZSCAN10	1825	2371	2141	2527	2692	3196
sg_2159_4	F10	746	840	545	1582	978	2037
sg_284353_2	NKPD1	2016	3087	2629	4804	4067	3954
sg_8883_2	NAE1	2800	2452	98	378	97	122
sg_5555_4	PRH2	753	844	549	629	527	1085
sg_2653_4	GCSH	388	508	36	314	144	104
sg_51004_1	COQ6	1803	1716	323	552	438	312
sg_9588_4	PRDX6	598	415	371	393	526	523
sg_NTC_629	Non_Targeting_Control_629	3014	5078	7806	11451	10402	9744
sg_343641_3	TGM6	3649	4281	5392	7324	5660	7184
sg_124995_1	MRPL10	1559	1678	185	449	138	544
sg_2863_4	GPR39	1400	1937	2730	4132	3539	3070
sg_441670_2	OR4M1	1387	1083	728	1489	449	635
sg_100132476_2	KRTAP4-7	3824	2115	411	881	621	758
sg_80216_1	ALPK1	2065	2170	2259	4580	2106	2931
sg_23170_1	TTLL12	521	800	1048	2590	479	899
sg_152273_2	FGD5	1117	982	219	934	259	218
sg_10568_1	SLC34A2	1283	1374	1232	1354	1331	1295
sg_7101_2	NR2E1	2120	2652	2448	3324	3750	3116
sg_51132_2	RLIM	2027	2360	1981	3254	2022	2121
sg_57701_2	NCKAP5L	1470	1016	1073	3010	732	1887
sg_2043_4	EPHA4	582	739	1705	2320	2765	1463
sg_84517_1	ACTRT3	919	1164	1080	786	658	2002
sg_56666_3	PANX2	1144	1105	657	657	400	690
sg_143941_2	TTC36	1477	1794	1179	3217	2026	1350
sg_50943_2	FOXP3	1885	1779	2850	4831	3657	3608
sg_8175_1	SF3A2	1531	619	143	39	29	81
sg_835_4	CASP2	1166	1827	1683	2222	1244	1810
sg_83935_3	TMEM133	1544	1628	1980	3593	2865	1487
sg_9839_2	ZEB2	717	441	342	623	152	378
sg_28970_4	C11orf54	810	776	725	721	628	706
sg_27293_3	SMPDL3B	1897	2191	2159	2667	3055	2288
sg_51699_1	VPS29	3769	3454	680	959	600	634
sg_23542_2	MAPK8IP2	1784	2397	1601	3225	2193	3447
sg_1605_1	DAG1	2415	2308	698	904	1105	796
sg_2534_2	FYN	1219	1424	1146	3364	2799	2052
sg_10435_2	CDC42EP2	1923	2303	1468	2198	1670	2984
sg_252983_1	STXBP4	1932	1700	768	1814	1604	1726
sg_134083_1	OR2Y1	2476	2610	1185	2138	2063	1549
sg_55329_2	MNS1	2386	3236	2890	4522	4027	4433
sg_59277_4	NTN4	825	1041	1429	1993	1035	1495
sg_55109_4	AGGF1	1375	1356	1149	1704	1363	2737
sg_5578_2	PRKCA	1528	1906	1012	1786	1405	1389
sg_5066_3	PAM	2251	2328	1607	2928	2705	2882
sg_23395_4	LARS2	1169	1470	110	47	17	137
sg_93492_3	TPTE2	1078	1058	1119	1384	976	1187
sg_64145_1	RBSN	846	1355	1216	987	749	587
sg_101929983_3	LOC101929983	1557	1672	2241	2592	2179	2776
sg_55735_3	DNAJC11	592	601	0	18	19	0
sg_10307_4	APBB3	2024	2771	1893	3389	3687	2886
sg_125170_4	MIEF2	1860	2504	1440	2347	1831	2442
sg_56110_1	PCDHGA5	1234	1686	1263	2218	1416	919
sg_367_1	AR	3765	3758	1398	2981	2955	2358
sg_63875_1	MRPL17	1506	1699	160	243	310	425
sg_844_2	CASQ1	1422	1561	908	800	929	824
sg_646262_3	LACTBL1	3362	4651	4149	9088	6403	6682
sg_148103_2	ZNF599	3177	3991	5075	7518	4780	5042
sg_527_4	ATP6V0C	2417	812	526	582	167	241
sg_9245_4	GCNT3	1069	1064	1428	2076	1214	2543
sg_10913_1	EDAR	2644	2537	2471	2868	4213	2662
sg_5709_2	PSMD3	854	157	60	53	78	0
sg_2120_2	ETV6	2714	3592	4036	5628	3557	7208
sg_100128569_1	C19orf71	2922	5052	5517	9364	6492	7579
sg_5626_2	PROP1	4039	5735	4210	6103	3739	4934
sg_25966_3	C2CD2	2595	2950	1679	1960	2311	2471
sg_29785_1	CYP2S1	852	1102	1078	1586	896	1680
sg_4256_1	MGP	1529	1296	754	2032	1200	1106
sg_202052_2	DNAJC18	2999	3139	1892	2125	2594	2487
sg_79786_1	KLHL36	1458	1811	1514	3166	2348	2535
sg_7164_3	TPD52L1	2021	1858	2960	3268	3028	3373
sg_NTC_48	Non_Targeting_Control_48	3911	5599	10167	14165	12427	12999
sg_27302_1	BMP10	2758	2733	3401	3180	3504	2238
sg_10333_1	TLR6	2137	2760	4121	8137	4184	5593
sg_23467_1	NPTXR	1383	1444	2050	2552	3114	2483
sg_1977_2	EIF4E	2365	1107	39	30	25	4
sg_10548_3	TM9SF1	2195	2302	1798	1983	1752	3454
sg_10772_1	SRSF10	2089	1273	308	485	593	405
sg_3981_3	LIG4	2235	2883	222	731	120	395
sg_374655_1	ZNF710	320	426	280	365	113	429
sg_7051_2	TGM1	1775	1672	753	784	569	534
sg_9474_1	ATG5	1288	1149	326	539	645	768
sg_390144_3	OR5D16	2822	3468	2775	3639	3530	3350
sg_100652824_2	KIAA2012	884	864	1304	1280	604	883
sg_83692_4	CD99L2	1191	1175	683	1364	879	1004
sg_57644_4	MYH7B	2638	2718	1216	1969	1670	2224
sg_4832_1	NME3	1399	1204	1517	2026	1631	1016
sg_NTC_437	Non_Targeting_Control_437	2259	3483	10894	16146	12234	11234
sg_6366_4	CCL21	2073	1946	1474	3030	2560	2508
sg_4046_1	LSP1	2374	2957	1557	3131	2400	2823
sg_79073_1	TMEM109	967	1139	759	1178	1293	1614
sg_255520_4	ELMOD2	1355	1765	1988	2325	2874	2208
sg_51016_4	EMC9	1042	1350	1201	2052	865	1898
sg_168090_1	C6orf118	1739	2574	3792	4222	3611	4292
sg_56103_3	PCDHGB2	1325	1878	3219	3736	2822	2575
sg_3006_3	HIST1H1C	310	540	231	521	390	236
sg_8676_1	STX11	3226	3882	3810	5173	4401	4749
sg_728343_1	NXF2B	2166	2408	1723	3946	1503	3738
sg_80028_2	FBXL18	806	770	873	1654	1825	1536
sg_55720_4	TSR1	1267	864	317	622	787	726
sg_8614_2	STC2	823	868	2337	1385	1300	2573
sg_388633_1	LDLRAD1	3070	2864	3192	5074	5174	5317
sg_10245_3	TIMM17B	988	765	874	1131	976	888
sg_51715_2	RAB23	1910	1342	2903	4906	2957	3222
sg_4297_3	KMT2A	1139	1444	1177	445	590	1029
sg_196385_3	DNAH10	1237	864	565	1233	1322	1078
sg_285126_3	DNAJC5G	2648	2977	3216	5735	4481	4054
sg_79444_2	BIRC7	2310	2790	2065	2470	2331	2238
sg_9824_1	ARHGAP11A	1148	1254	858	878	990	1596
sg_1788_2	DNMT3A	1796	2288	2251	4428	2505	2673
sg_139793_2	PAGE3	2431	2664	2524	4148	3538	4289
sg_128989_2	TANGO2	2643	2512	2325	2352	3256	2518
sg_29944_1	PNMA3	2461	3093	1835	3179	3782	3395
sg_83884_2	SLC25A2	936	1224	1132	1395	2469	1205
sg_10769_2	PLK2	2602	2381	1660	2992	2019	2606
sg_25763_3	HYPM	3511	3979	4037	5301	5008	5320
sg_57119_2	EPPIN	816	894	1408	672	632	185
sg_222696_3	ZSCAN23	1887	1863	1720	1819	1601	1026
sg_283576_1	ZDHHC22	3571	4074	3442	5092	3111	2871
sg_26508_3	HEYL	1397	1772	1571	2175	1589	1314
sg_NTC_563	Non_Targeting_Control_563	2179	3713	3733	6890	6187	6722
sg_153830_3	RNF145	485	310	233	423	107	239
sg_162073_1	ITPRIPL2	2366	1907	711	1333	740	1338
sg_401097_3	C3orf80	2540	3631	5977	4863	6536	8961
sg_6698_4	SPRR1A	1796	2625	3399	7091	5826	5446
sg_116519_1	APOA5	2007	2127	394	1100	400	555
sg_51667_1	NUB1	1052	887	714	1438	852	978
sg_145270_3	PRIMA1	1072	1220	594	1137	951	845
sg_25851_4	TECPR1	1209	1240	629	1242	443	464
sg_100861412_3	FSBP	1176	1438	754	1491	1199	988
sg_51706_2	CYB5R1	1424	1224	537	1458	1374	1087
sg_54541_4	DDIT4	1667	2541	2288	4158	2633	2518
sg_7267_3	TTC3	792	1277	1832	3091	1873	1528
sg_337867_1	UBAC2	1868	2444	2901	4982	4191	4238
sg_8835_3	SOCS2	1854	1572	1441	2822	2407	2564
sg_113115_3	MTFR2	1520	1437	1463	2172	1910	2102
sg_23399_2	CTDNEP1	1302	1411	78	166	178	39
sg_4636_2	MYL5	1334	1444	1465	1107	1267	995
sg_1364_4	CLDN4	2923	3728	3303	5281	4150	4268
sg_221143_3	N6AMT2	850	874	675	798	595	503
sg_55212_1	BBS7	2686	3058	2949	4760	4404	2892
sg_26509_3	MYOF	2105	2774	3333	5674	2871	3712
sg_345062_2	PRSS48	981	1332	1298	1647	2528	1909
sg_NTC_549	Non_Targeting_Control_549	3603	5726	7070	9307	11925	11112
sg_8302_3	KLRC4	924	1094	2859	2692	3189	4032
sg_23768_2	FLRT2	2138	1820	1782	1882	2335	1453
sg_55653_4	BCAS4	2237	2895	1665	2122	2116	2082
sg_9223_3	MAGI1	2939	2992	2354	3325	2657	4870
sg_1749_2	DLX5	2256	2243	1069	1446	1107	1681
sg_57018_2	CCNL1	2356	2120	1045	1755	533	1005
sg_4126_2	MANBA	2010	2227	2384	4489	3742	2668
sg_163131_3	ZNF780B	1235	1640	1041	4464	3479	2798
sg_55720_1	TSR1	2427	1619	1049	2343	934	831
sg_51020_4	HDDC2	1029	1422	1303	1602	2235	1523
sg_51733_2	UPB1	1044	1589	1244	2654	2217	1895
sg_118461_2	C10orf71	1620	1489	1630	1184	1842	791
sg_8468_2	FKBP6	1931	2378	4850	3936	4706	2863
sg_8647_1	ABCB11	1533	1340	1144	1322	1152	1033
sg_146956_3	EME1	1831	2845	1669	2204	2789	3046
sg_10815_3	CPLX1	911	700	801	1013	53	307
sg_NTC_86	Non_Targeting_Control_86	4247	4855	7955	11873	13357	9589
sg_403277_1	OR5K3	1271	976	209	455	569	541
sg_246744_3	STH	2250	3180	1844	3815	2512	2597
sg_6616_3	SNAP25	1008	1266	2294	1745	974	1400
sg_114049_2	WBSCR22	4360	1159	68	0	52	11
sg_338661_2	TMEM225	1965	1891	1119	2219	2284	2368
sg_55293_1	UEVLD	3817	5660	7664	7776	8438	7604
sg_9154_4	SLC28A1	3038	3859	4085	7318	6805	6381
sg_8651_1	SOCS1	2610	3254	1820	3310	2675	3960
sg_763_4	CA5A	2099	2025	1695	2899	2306	2519
sg_353497_4	POLN	1518	1762	1101	1419	1209	1655
sg_144717_2	FAM109A	2322	2398	2382	2744	2548	2480
sg_116068_4	LYSMD3	3088	4346	3592	5763	3658	3494
sg_NTC_37	Non_Targeting_Control_37	4890	7949	21260	25881	21739	22214
sg_10087_2	COL4A3BP	2957	2839	2134	2357	3122	2188
sg_79632_1	FAM184A	3252	3173	5421	6080	4897	7038
sg_5638_1	PRRG1	1508	2364	4200	5112	4578	3271
sg_100529063_3	BCL2L2-PABPN1	2108	351	177	23	97	125
sg_7775_2	ZNF232	2925	3642	2505	4342	3225	2946
sg_9810_3	RNF40	1651	1261	159	101	80	16
sg_55024_1	BANK1	2833	3448	2916	5488	5030	4381
sg_119694_2	OR51F2	2958	3021	2740	4058	3234	2976
sg_78999_3	LRFN4	2066	2087	1625	2766	1515	1335
sg_NTC_762	Non_Targeting_Control_762	4266	5225	7586	11257	12107	11303
sg_9312_3	KCNB2	2857	3895	5453	5127	5370	6413
sg_140032_3	RPS4Y2	1248	1743	1472	3181	2416	2790
sg_8605_4	PLA2G4C	1916	2944	2392	3908	1982	2769
sg_5271_1	SERPINB8	2496	3136	4786	6838	5010	8059
sg_416_3	ARSF	2625	2870	686	1396	818	1106
sg_100527978_4	TMEM56-RWDD3	976	944	532	1226	1539	1184
sg_399947_3	C11orf87	2591	2844	1416	4892	1893	4144
sg_375484_2	SIMC1	2492	3070	1466	2360	963	1922
sg_1432_2	MAPK14	1172	944	476	373	635	406
sg_8546_4	AP3B1	528	488	55	224	486	171
sg_5348_3	FXYD1	1323	1361	1083	1081	1448	2085
sg_117194_4	MRGPRX2	2695	3538	3910	5164	5948	5914
sg_114898_2	C1QTNF2	556	762	820	662	759	492
sg_4087_3	SMAD2	916	1088	903	1910	3038	2931
sg_4439_1	MSH5	2442	2351	1683	3151	2544	2922
sg_8536_1	CAMK1	1044	992	1102	1446	1753	1213
sg_125336_4	LOXHD1	1648	1446	2622	4202	4098	3515
sg_57530_3	CGN	1718	1743	894	2596	1537	1224
sg_5225_3	PGC	3993	3018	2748	5862	2890	2977
sg_266629_3	SEC14L3	1143	1073	830	1583	414	900
sg_718_1	C3	2875	3392	3829	6427	4969	6399
sg_412_2	STS	2022	2920	2328	3415	2954	3249
sg_448834_4	KPRP	1847	2315	1423	1719	1325	1377
sg_5327_2	PLAT	785	1164	1402	3392	2352	2211
sg_339221_1	ENPP7	2714	3302	4409	2724	4593	4922
sg_3766_1	KCNJ10	1317	1158	759	2296	1298	850
sg_387707_4	CC2D2B	544	584	208	680	218	677
sg_114897_3	C1QTNF1	1817	2208	2265	3808	4718	2715
sg_23677_3	SH3BP4	2470	3018	2368	4812	3288	3724
sg_1059_2	CENPB	761	1189	1311	1630	1217	843
sg_63920_4	ZBED8	1934	1950	1722	1792	1285	1711
sg_91662_4	NLRP12	968	1004	2154	3438	1547	994
sg_5222_3	PGA5	1340	1981	1651	1653	1703	1669
sg_NTC_19	Non_Targeting_Control_19	2942	4095	5261	7238	7074	5536
sg_9934_2	P2RY14	3761	3188	1950	1427	1804	1342
sg_79339_2	OR51B4	1902	2648	2203	3849	4483	2962
sg_53407_4	STX18	2197	1970	683	735	1380	1050
sg_440295_3	GOLGA6L9	1859	781	383	686	334	335
sg_79690_1	GAL3ST4	4140	5177	4942	6453	5914	7856
sg_5335_1	PLCG1	2091	2619	3026	3403	3555	4036
sg_871_1	SERPINH1	1996	2262	2448	2948	2567	2161
sg_64081_1	PBLD	1771	2036	1809	2316	2924	1756
sg_23397_2	NCAPH	1282	590	157	157	140	305
sg_90411_2	MCFD2	3420	4398	4485	5534	4241	4169
sg_79673_4	ZNF329	1197	1506	1759	2556	1564	2517
sg_56181_2	MTFR1L	2478	2225	2235	2876	3296	2027
sg_10025_4	MED16	1974	2241	2230	4235	2112	2019
sg_256892_1	OR51F1	984	1190	837	1696	1208	934
sg_10534_1	SSSCA1	2964	3404	1676	1818	1742	986
sg_29923_1	HILPDA	2211	2173	1244	2453	2732	2767
sg_1955_2	MEGF9	3738	3832	1935	3673	2576	3989
sg_NTC_965	Non_Targeting_Control_965	2925	5630	6369	8320	6896	8915
sg_79991_2	OBFC1	2282	2978	80	162	65	122
sg_29090_1	TIMM21	2601	2949	3394	4739	3013	2846
sg_320_3	APBA1	794	681	174	844	639	929
sg_158219_2	TTC39B	2200	2850	3816	5538	4952	5918
sg_54586_3	EQTN	1637	2386	2744	2838	3155	3623
sg_130497_3	OSR1	709	860	640	1506	423	965
sg_5600_2	MAPK11	700	810	1300	1887	1183	1525
sg_24145_2	PANX1	2769	2507	1853	3806	3672	3235
sg_10194_3	TSHZ1	2760	3577	3290	3326	4620	3613
sg_23228_1	PLCL2	1331	1527	923	2092	1380	1679
sg_56655_2	POLE4	3189	2433	846	559	433	500
sg_159989_4	CCDC67	917	997	212	493	1093	827
sg_55512_4	SMPD3	2159	1918	2083	3663	2438	2309
sg_160428_3	ALDH1L2	1520	1178	1595	2360	2116	1691
sg_129684_3	CNTNAP5	1212	991	360	785	866	1021
sg_400736_3	LOC400736	2350	2880	2346	2714	2560	2489
sg_151647_1	FAM19A4	1419	1291	1001	872	1298	1552
sg_6332_4	SCN7A	1908	1764	2235	3443	2510	1965
sg_84125_4	LRRIQ1	2634	2539	2437	3109	3382	4042
sg_92815_2	HIST3H2A	2645	3417	3648	3077	5969	2868
sg_11120_2	BTN2A1	2061	2119	2620	2717	3712	3430
sg_55644_3	OSGEP	2047	2743	245	171	68	40
sg_140578_2	CHODL	2203	3116	2802	3201	4478	3190
sg_326624_4	RAB37	1316	1383	1294	1940	1578	1687
sg_90525_4	SHF	111	131	54	215	0	73
sg_57185_3	NIPAL3	779	1076	668	1039	806	848
sg_54439_3	RBM27	2451	2872	1295	2638	1701	1353
sg_2820_3	GPD2	805	1082	830	1364	1558	977
sg_81603_1	TRIM8	860	677	121	343	561	361
sg_26291_3	FGF21	3207	4407	3686	6744	4804	4983
sg_7789_1	ZXDA	1234	1826	2424	2472	1564	2555
sg_4188_2	MDFI	3526	5111	5719	6334	6881	5934
sg_11120_3	BTN2A1	437	583	1313	1014	811	659
sg_55610_4	CCDC132	1376	1298	701	692	898	746
sg_899_1	CCNF	1595	1952	1472	2329	3187	2091
sg_55486_1	PARL	2272	2810	2162	4184	3614	2753
sg_28988_1	DBNL	1172	1444	966	1832	1546	2331
sg_26952_1	SMR3A	3169	4269	2710	2811	3562	3663
sg_3021_2	H3F3B	816	540	75	125	26	31
sg_387522_3	TMEM189-UBE2V1	3176	3463	1142	1451	1008	812
sg_51637_2	C14orf166	570	748	1876	2558	1009	1747
sg_90199_2	WFDC8	3317	3311	2192	4037	2436	2427
sg_84217_2	ZMYND12	1952	1723	2778	2884	2232	3258
sg_375593_2	TRIM73	1213	480	244	139	211	397
sg_29903_2	CCDC106	1668	2451	5080	7302	5104	5093
sg_253582_3	TMEM244	3186	3967	3573	6211	3956	4994
sg_8904_4	CPNE1	1613	2689	2704	4028	3325	3218
sg_9535_1	GMFG	1936	1955	1217	2186	1394	902
sg_1777_1	DNASE2	1654	1943	1436	1328	3429	2574
sg_655_1	BMP7	877	1302	1054	2211	1957	2737
sg_9465_2	AKAP7	1965	2605	2302	3819	6000	3322
sg_1509_2	CTSD	1896	2756	3237	4644	4964	3825
sg_1659_1	DHX8	776	55	45	127	24	5
sg_728299_2	KRTAP19-8	1909	2971	2373	3624	3821	3459
sg_9154_3	SLC28A1	1896	2781	3707	5891	4323	5963
sg_128817_2	CSTL1	624	623	1223	1442	823	1423
sg_79139_1	DERL1	700	633	199	305	515	399
sg_1544_2	CYP1A2	1828	2032	1492	3356	1940	3118
sg_5634_2	PRPS2	646	792	817	1334	566	597
sg_49854_3	ZBTB21	1267	1359	720	1494	701	1265
sg_23126_4	POGZ	882	858	1364	687	1094	1235
sg_9873_3	FCHSD2	2690	3417	3716	4714	3401	3179
sg_4689_1	NCF4	1817	1916	993	1599	1458	1820
sg_65989_2	DLK2	3065	3176	2875	5553	4932	5984
sg_817_3	CAMK2D	1900	2434	2949	5025	2847	4293
sg_257202_1	GPX6	3232	2967	4360	6823	3110	3710
sg_202500_4	TCTE1	2641	2931	4086	6859	5059	4763
sg_83871_4	RAB34	1184	1329	1596	2264	1495	1378
sg_9748_4	SLK	1061	1427	2918	2079	2038	2519
sg_63943_1	FKBPL	2877	2859	2564	5373	3028	4075
sg_144195_4	SLC2A14	1309	1382	1462	1932	1400	2041
sg_10591_2	DNPH1	477	450	235	473	396	1117
