sgRNA	Gene	MDA-MB-231-Reference	MDA-MB-231-Baseline	MDA-MB-231-Vehicle-1	MDA-MB-231-Vehicle-2	MDA-MB-231-Cpd-1	MDA-MB-231-Cpd-2
sg_25893_2	TRIM58	425	654	489	996	1123	476
sg_132430_4	PABPC4L	298	452	297	328	169	503
sg_9858_4	PPP1R26	661	861	376	618	541	710
sg_80227_3	PAAF1	760	1161	1728	1904	1408	2541
sg_148930_2	KNCN	1340	1413	2258	2512	2280	2061
sg_51166_2	AADAT	1669	1936	1673	2313	1627	3486
sg_79143_4	MBOAT7	1176	1477	1243	1775	1880	1928
sg_374286_4	CDRT1	1804	1343	498	827	878	820
sg_27436_2	EML4	882	968	687	583	787	559
sg_284756_4	C20orf197	1067	1446	994	1475	1166	1257
sg_10446_4	LRRN2	635	646	540	938	730	1097
sg_1993_4	ELAVL2	375	389	707	572	525	348
sg_55770_2	EXOC2	794	794	294	485	331	551
sg_22807_3	IKZF2	401	425	1016	1098	757	744
sg_43847_4	KLK14	1131	1125	341	610	298	180
sg_3119_4	HLA-DQB1	461	711	701	2598	979	1885
sg_148362_4	BROX	880	1122	776	1003	655	595
sg_55016_3	MARCH1	909	1011	479	574	841	665
sg_51527_4	GSKIP	1062	1332	376	1040	891	739
sg_2938_4	GSTA1	729	857	1963	1613	2524	1651
sg_9158_3	FIBP	404	500	307	1015	835	728
sg_NTC_311	Non_Targeting_Control_311	2355	3949	6794	12567	9255	7492
sg_11158_1	RABL2B	2731	2072	1435	1490	928	1215
sg_29798_3	C2orf27A	1179	1076	500	1132	866	1380
sg_25975_1	EGFL6	671	903	732	1229	730	623
sg_7182_1	NR2C2	1979	2110	745	729	491	713
sg_7317_2	UBA1	1259	392	0	0	0	0
sg_147184_2	TMEM99	847	1062	626	1320	1051	937
sg_NTC_352	Non_Targeting_Control_352	1441	2113	4426	6228	4772	5535
sg_27233_1	SULT1C4	1805	2038	1331	2288	2402	1217
sg_5996_4	RGS1	904	1657	1364	1964	1008	1838
sg_9708_3	PCDHGA8	1433	1517	866	856	657	1024
sg_439915_2	KRTAP5-5	2062	2810	3573	4390	4484	3599
sg_23359_2	FAM189A1	1556	1549	1062	2888	1722	1492
sg_10507_3	SEMA4D	1083	1053	563	681	403	527
sg_100129083_2	LOC100129083	1638	2612	835	2252	891	836
sg_3781_3	KCNN2	488	646	256	377	170	218
sg_55196_2	KIAA1551	414	241	238	558	124	36
sg_2395_4	FXN	1383	1171	243	380	378	540
sg_84769_3	MPV17L2	333	358	339	1072	369	1107
sg_10559_3	SLC35A1	1653	1512	813	1402	1499	1399
sg_64960_4	MRPS15	1037	1013	26	1	9	30
sg_554251_4	FBXO48	1453	1317	1653	1620	1400	1815
sg_200558_4	APLF	718	697	545	1201	697	582
sg_7049_3	TGFBR3	2101	1482	1112	1802	1670	1053
sg_5803_1	PTPRZ1	1128	1200	945	1172	617	1002
sg_4724_3	NDUFS4	1380	1145	428	693	794	970
sg_27120_1	DKKL1	1062	1426	1379	1800	1349	1253
sg_9462_4	RASAL2	486	433	384	485	213	398
sg_2047_3	EPHB1	1984	3226	3165	4193	4726	6137
sg_388588_1	SMIM1	333	488	350	999	737	1027
sg_375748_3	ERCC6L2	1662	2028	1634	1471	1220	1260
sg_79801_2	SHCBP1	2966	2618	2585	5012	2749	2837
sg_80831_2	APOL5	1159	1631	1182	2063	1673	2409
sg_114897_4	C1QTNF1	717	787	707	704	716	541
sg_90416_2	C15orf57	1132	823	135	171	74	204
sg_80176_4	SPSB1	826	1293	969	1034	1083	1861
sg_85440_4	DOCK7	575	432	307	448	136	827
sg_6122_1	RPL3	558	82	0	0	0	0
sg_1996_3	ELAVL4	754	478	376	593	596	274
sg_60672_4	MIIP	1463	1640	2506	2106	1372	2223
sg_57007_3	ACKR3	1343	1930	1466	2420	1971	1865
sg_374378_4	GALNT18	1051	1154	1196	1124	730	779
sg_23759_1	PPIL2	2296	609	0	14	0	32
sg_199704_2	ZNF585A	1098	1137	637	1410	652	803
sg_64222_1	TOR3A	773	901	1065	1957	1081	1166
sg_139170_4	DCAF12L1	2461	3670	3365	4780	4056	4008
sg_130940_2	CCDC148	330	266	180	31	172	0
sg_55356_1	SLC22A15	1126	705	439	1555	1481	1550
sg_29125_1	C11orf21	1690	2033	1775	2760	1906	2595
sg_23616_1	SH3BP1	809	1049	629	351	514	412
sg_219348_1	PLAC9	768	711	981	875	1106	1005
sg_8772_3	FADD	1080	1070	1149	1651	681	1663
sg_3009_4	HIST1H1B	1090	933	251	455	379	305
sg_114_3	ADCY8	1909	1753	863	1366	1179	1220
