"","Gene","score","fdr","lfc","normZ","rank","fdr_synth","geneType","Classification"
"9631","FAM171B",0.44351,0.996646,-2.349,-0.71,4104,0.99,NA,"other"
"9632","ZNF32",0.44358,0.996646,-0.69563,0.31,10949,0.99,NA,"other"
"9633","VCX2",0.44364,0.996646,-0.31199,0.36,11284,0.99,NA,"other"
"9634","VIP",0.44367,0.996646,0.16387,0.4,11527,0.99,NA,"other"
"9635","MAP3K2",0.44386,0.996646,-2.5136,-0.57,4978,0.99,NA,"other"
"9636","SLCO6A1",0.44422,0.996646,-0.11197,0.4,11483,0.99,"Nonessential","Nonessential"
"9637","SIRPA",0.4444,0.996646,0.15746,0.54,12495,0.991,NA,"other"
"9638","KANSL1L",0.44453,0.996646,-2.2826,0.09,9375,0.99,NA,"other"
"9639","HAUS8",0.44454,0.996646,-1.4486,-0.31,6621,0.99,NA,"other"
"9640","ZNF207",0.44474,0.996646,-1.9731,-0.56,4984,0.99,"Essential","Essential"
"9641","C15orf26",0.44481,0.996646,-0.2457,1.58,16592,0.999,NA,"other"
"9642","SLC24A5",0.44494,0.996646,-1.4283,0.23,10432,0.99,NA,"other"
"9643","MYRFL",0.44496,0.996646,0.60317,1.16,15513,0.994,NA,"other"
"9644","RCVRN",0.44501,0.996646,0.12021,1.01,14920,0.993,NA,"other"
"9645","TAS2R41",0.44522,0.996646,-2.2864,-0.51,5317,0.99,"Nonessential","Nonessential"
"9646","RRAS",0.44528,0.996646,1.4011,0.77,13759,0.993,NA,"other"
"9647","PHLDA3",0.44531,0.996646,-2.4196,-0.3,6714,0.99,NA,"other"
"9648","GCSAM",0.44535,0.996646,0.38746,0.89,14371,0.993,NA,"other"
"9649","STX6",0.44548,0.996646,-0.72358,0.07,9241,0.99,NA,"other"
"9650","PGRMC1",0.44558,0.996646,-0.49706,-0.4,6054,0.99,NA,"other"
"9651","C12orf39",0.44565,0.996646,-2.6575,-0.05,8374,0.99,NA,"other"
"9652","RBM6",0.44565,0.996646,-2.6575,-0.41,5917,0.99,NA,"other"
"9653","CYTH1",0.44565,0.996646,-2.6575,0.36,11241,0.99,NA,"other"
"9654","SKI",0.44565,0.996646,-2.2391,-0.41,5934,0.99,NA,"other"
"9655","PYHIN1",0.44565,0.996646,-2.6575,-0.54,5123,0.99,NA,"other"
"9656","FREM1",0.44565,0.996646,-0.66459,0.41,11605,0.99,NA,"other"
"9657","SHISA4",0.44565,0.996646,-2.6575,0.08,9356,0.99,NA,"other"
"9658","CNTN5",0.44565,0.996646,-1.3098,-0.16,7618,0.99,NA,"other"
"9659","WFDC6",0.44565,0.996646,-2.6575,1.26,15800,0.995,NA,"other"
"9660","RIBC1",0.44565,0.996646,-2.6575,-0.37,6228,0.99,NA,"other"
"9661","NUTF2",0.44565,0.996646,-2.6575,-0.25,7059,0.99,NA,"other"
"9662","AMACR",0.44565,0.996646,-2.6575,-0.08,8204,0.99,NA,"other"
"9663","TTC38",0.44565,0.996646,-2.5495,-0.45,5712,0.99,NA,"other"
"9664","APOO",0.44566,0.996646,-1.7179,0.29,10839,0.99,NA,"other"
"9665","TLR4",0.44568,0.996646,-0.20542,0.09,9401,0.99,NA,"other"
"9666","RANBP9",0.44575,0.996646,-0.29759,0.61,12856,0.992,NA,"other"
"9667","TEX12",0.44578,0.996646,-0.18433,0.28,10755,0.99,NA,"other"
"9668","CANX",0.4459,0.996646,-1.7319,0.27,10679,0.99,NA,"other"
"9669","8-Mar",0.44596,0.996646,-0.41447,0.26,10565,0.99,NA,"other"
"9670","HOOK2",0.44612,0.996646,-1.3372,0.15,9829,0.99,NA,"other"
"9671","AGBL1",0.44617,0.996646,-0.044405,-0.23,7166,0.99,NA,"other"
"9672","RGL2",0.4462,0.996646,-1.6019,0.39,11449,0.99,NA,"other"
"9673","VSTM2A",0.4462,0.996646,-2,0.63,13013,0.992,NA,"other"
"9674","ATP10B",0.44635,0.996646,-1.4341,-0.05,8371,0.99,NA,"other"
"9675","HCRTR1",0.44677,0.996646,-1.0948,-0.11,7947,0.99,NA,"other"
"9676","ITGA2B",0.4468,0.996646,-0.3566,-0.29,6755,0.99,NA,"other"
"9677","NLRX1",0.44694,0.996646,0.071178,-0.16,7639,0.99,NA,"other"
"9678","MOB2",0.44746,0.996646,-0.095079,-0.13,7858,0.99,NA,"other"
"9679","C15orf57",0.44746,0.996646,-1.6698,-0.19,7487,0.99,NA,"other"
"9680","GPR171",0.44756,0.996646,-1.2087,-0.38,6143,0.99,NA,"other"
"9681","GPR119",0.44761,0.996646,-0.19438,0.48,12077,0.99,NA,"other"
"9682","L1CAM",0.44771,0.996646,-0.50632,0.25,10530,0.99,NA,"other"
"9683","SKP1",0.4478,0.996646,-0.051409,0.44,11833,0.99,NA,"other"
"9684","RPS3",0.44791,0.996646,-0.38295,0.27,10639,0.99,NA,"other"
"9685","PHC1",0.44795,0.996646,0.37392,0.73,13600,0.993,NA,"other"
"9686","SIGLEC9",0.44798,0.996646,-1.0233,0,8731,0.99,NA,"other"
"9687","PSCA",0.448,0.996646,-2.3768,-0.93,3031,0.99,NA,"other"
"9688","UTP6",0.44803,0.996646,-1.6514,-0.36,6261,0.99,NA,"other"
"9689","CLDND2",0.44803,0.996646,-0.32456,0.8,13921,0.993,NA,"other"
"9690","PDRG1",0.44805,0.996646,0.35541,0.31,10909,0.99,NA,"other"
"9691","GRXCR2",0.44818,0.996646,-1.8437,-0.13,7812,0.99,NA,"other"
"9692","HIST1H4I",0.44818,0.996646,-2.147,-0.44,5769,0.99,NA,"other"
"9693","IKZF1",0.44829,0.996646,-2.3449,-0.1,8026,0.99,NA,"other"
"9694","RNASE8",0.44839,0.996646,-2.2365,-0.37,6174,0.99,NA,"other"
"9695","FAM13A",0.44852,0.996646,-1.2762,-0.11,7981,0.99,NA,"other"
"9696","PAEP",0.44853,0.996646,-1.5127,0.26,10551,0.99,NA,"other"
"9697","ADRB3",0.44861,0.996646,-0.37425,0.92,14504,0.993,NA,"other"
"9698","AMTN",0.44861,0.996646,-1.0685,-0.04,8476,0.99,NA,"other"
"9699","PRAC1",0.44871,0.996646,-0.65139,0,8732,0.99,NA,"other"
"9700","PLA2G4F",0.44872,0.996646,-2.4593,-0.1,8045,0.99,NA,"other"
"9701","CD3G",0.44891,0.996646,-0.0065435,0.51,12245,0.99,NA,"other"
"9702","MCHR1",0.44908,0.996646,-1.4838,0.13,9706,0.99,NA,"other"
"9703","PPP1R8",0.44911,0.996646,-0.79475,0.13,9697,0.99,NA,"other"
"9704","CYP4F12",0.4492,0.996646,-1.0194,0.07,9275,0.99,NA,"other"
"9705","PRPF8",0.44932,0.996646,-2.8292,0.03,8994,0.99,"Essential","Essential"
"9706","RNF43",0.44934,0.996646,-1.2852,-0.39,6115,0.99,NA,"other"
"9707","COLGALT2",0.44944,0.996646,-1.4568,-0.45,5686,0.99,NA,"other"
"9708","FUK",0.44951,0.996646,-0.28234,0.3,10883,0.99,NA,"other"
"9709","MCM7",0.44957,0.996646,-1.901,-0.12,7869,0.99,NA,"other"
"9710","ATP8B1",0.44969,0.996646,-1.8151,-0.41,5982,0.99,NA,"other"
"9711","CYP17A1",0.44969,0.996646,-0.048561,0.03,9026,0.99,NA,"other"
"9712","ZMYM6",0.44969,0.996646,-1.4986,0.52,12365,0.991,NA,"other"
"9713","PLA2G6",0.44969,0.996646,-1.7671,0.24,10461,0.99,NA,"other"
"9714","FAM177B",0.44979,0.996646,-0.088629,-0.13,7841,0.99,NA,"other"
"9715","SOX17",0.4498,0.996646,-2.6523,0.01,8828,0.99,NA,"other"
"9716","LACTB2",0.4498,0.996646,-2.6523,-0.15,7687,0.99,NA,"other"
"9717","C21orf62",0.4498,0.996646,-0.78774,-0.14,7779,0.99,NA,"other"
"9718","FSHR",0.4498,0.996646,-2.6523,-0.85,3387,0.99,NA,"other"
"9719","TCTN3",0.4498,0.996646,-0.45982,0.65,13108,0.992,NA,"other"
"9720","ZNF25",0.4498,0.996646,-2.6523,-0.04,8453,0.99,NA,"other"
"9721","TWF1",0.4498,0.996646,-2.6523,-0.47,5565,0.99,NA,"other"
"9722","IRF2BPL",0.4498,0.996646,-2.2628,-0.25,7056,0.99,NA,"other"
"9723","TMEM61",0.4498,0.996646,-0.35776,0.73,13584,0.993,NA,"other"
"9724","GPR115",0.4498,0.996646,-2.6523,0.24,10480,0.99,NA,"other"
"9725","NBAS",0.4498,0.996646,-0.75,-0.11,7944,0.99,NA,"other"
"9726","C10orf82",0.4498,0.996646,-0.66777,0.03,9015,0.99,NA,"other"
"9727","WDR66",0.44988,0.996646,-0.008656,0.59,12751,0.992,NA,"other"
"9728","TARS",0.45007,0.996646,-0.62917,1.33,16001,0.997,NA,"other"
"9729","IDO2",0.45017,0.996646,-0.41817,0.3,10861,0.99,NA,"other"
"9730","ITGAE",0.45021,0.996646,-1.792,-0.55,5072,0.99,NA,"other"
"9731","MDP1",0.45023,0.996646,-2.8246,0.14,9747,0.99,NA,"other"
"9732","SDHB",0.45023,0.996646,-2.8246,0.14,9748,0.99,NA,"other"
"9733","RNF170",0.45023,0.996646,-2.8246,0.14,9746,0.99,NA,"other"
"9734","WWTR1",0.45023,0.996646,-2.8246,0.14,9750,0.99,NA,"other"
"9735","MTF2",0.45023,0.996646,-2.8246,0.14,9745,0.99,NA,"other"
"9736","SUMO2",0.45023,0.996646,-2.8246,0.14,9744,0.99,NA,"other"
"9737","SIRT7",0.45023,0.996646,-2.8246,0.14,9751,0.99,NA,"other"
"9738","COLEC11",0.45037,0.996646,-0.33854,0.07,9283,0.99,NA,"other"
"9739","PTGER2",0.45041,0.996646,-0.24735,0.24,10468,0.99,NA,"other"
"9740","ZNF684",0.4506,0.996646,0.41421,0.79,13829,0.993,NA,"other"
"9741","LGI4",0.45082,0.996646,-0.83566,0.06,9185,0.99,NA,"other"
"9742","METTL5",0.45091,0.996646,-1.8102,-0.15,7690,0.99,NA,"other"
"9743","H2AFY2",0.45094,0.996646,0.11611,0.71,13398,0.992,NA,"other"
"9744","DGKG",0.4512,0.996646,-0.05003,0.38,11401,0.99,NA,"other"
"9745","PHC3",0.45124,0.996646,-1.6192,-0.27,6903,0.99,NA,"other"
"9746","COMMD9",0.45132,0.996646,-1.9199,-0.6,4789,0.99,NA,"other"
"9747","FAM188B",0.4514,0.996646,0.36389,1.95,17093,1,NA,"other"
"9748","SAA4",0.4514,0.996646,-1.152,-0.24,7157,0.99,NA,"other"
"9749","DLST",0.45149,0.996646,-0.65615,-0.12,7908,0.99,NA,"other"
"9750","REEP1",0.45152,0.996646,-2.3437,-0.61,4721,0.99,NA,"other"
"9751","GPD1",0.45167,0.996646,-1.7181,-0.38,6141,0.99,NA,"other"
"9752","FAM229A",0.45168,0.996646,-2.71,-0.53,5160,0.99,NA,"other"
"9753","SPATC1L",0.45185,0.996646,-1.4586,-0.46,5637,0.99,NA,"other"
"9754","CCNDBP1",0.45193,0.996646,0.22422,0.27,10627,0.99,NA,"other"
"9755","KRTAP13-4",0.45204,0.996646,-0.24572,-0.12,7889,0.99,NA,"other"
"9756","ASS1",0.4521,0.996646,-2.1336,-0.19,7500,0.99,NA,"other"
"9757","ZNF135",0.45212,0.996646,-2.82,0.12,9617,0.99,NA,"other"
"9758","ELMO3",0.45212,0.996646,-2.82,0.12,9615,0.99,NA,"other"
"9759","BLM",0.45212,0.996646,-2.82,0.12,9620,0.99,NA,"other"
"9760","PSEN1",0.45212,0.996646,-2.82,0.12,9618,0.99,NA,"other"
"9761","SCRG1",0.45212,0.996646,-2.82,0.12,9616,0.99,NA,"other"
"9762","DNASE1L3",0.45212,0.996646,-2.82,0.12,9619,0.99,NA,"other"
"9763","USP11",0.45221,0.996646,-2.6472,0.03,8973,0.99,NA,"other"
"9764","STRA6",0.45221,0.996646,-1.2529,-0.33,6454,0.99,NA,"other"
"9765","C7orf73",0.45231,0.996646,-0.9747,-0.11,7988,0.99,NA,"other"
"9766","ARHGAP24",0.45248,0.996646,-2.2136,-0.41,5962,0.99,NA,"other"
"9767","NR3C2",0.45258,0.996646,-1.5401,-0.6,4779,0.99,NA,"other"
"9768","LRRC10B",0.45288,0.996646,-0.23754,0.51,12344,0.991,NA,"other"
"9769","PRDX6",0.45291,0.996646,-0.32389,-0.06,8353,0.99,NA,"other"
"9770","IL1R1",0.45292,0.996646,0.13426,-0.15,7696,0.99,NA,"other"
"9771","COX15",0.45292,0.996646,-2.1109,-0.34,6407,0.99,NA,"other"
"9772","SLC7A9",0.45298,0.996646,-0.49,-0.4,6065,0.99,NA,"other"
"9773","HARS",0.45306,0.996646,-1.9467,0.08,9334,0.99,NA,"other"
"9774","FFAR2",0.45306,0.996646,-2.1034,0.02,8923,0.99,NA,"other"
"9775","ANKRA2",0.45306,0.996646,-1.9725,0.04,9039,0.99,NA,"other"
"9776","CHADL",0.45308,0.996646,-0.90789,-0.21,7352,0.99,NA,"other"
"9777","PRICKLE2",0.45331,0.996646,-0.5396,0.24,10451,0.99,NA,"other"
"9778","CYP4Z1",0.45344,0.996646,0.050959,0.83,14077,0.993,NA,"other"
"9779","OCRL",0.45344,0.996646,-1.8008,0.44,11845,0.99,NA,"other"
"9780","RHEBL1",0.45346,0.996646,-2.3056,-0.07,8263,0.99,NA,"other"
"9781","KRT79",0.45358,0.996646,-0.96696,-0.18,7544,0.99,NA,"other"
"9782","TMEM8B",0.45372,0.996646,-1.5754,-0.32,6531,0.99,NA,"other"
"9783","SAMM50",0.45377,0.996646,0.23325,0.32,11005,0.99,"Essential","Essential"
"9784","LCE3B",0.45377,0.996646,-0.073636,-0.08,8181,0.99,NA,"other"
"9785","DRD1",0.45388,0.996646,-0.2867,-0.38,6163,0.99,NA,"other"
"9786","OR4A5",0.45419,0.996646,-2.8154,0.14,9755,0.99,NA,"other"
"9787","PLBD2",0.45419,0.996646,-2.8154,0.14,9756,0.99,NA,"other"
"9788","BMP6",0.45419,0.996646,-2.8154,0.14,9754,0.99,NA,"other"
"9789","FAM217A",0.45422,0.996646,-1.8017,-0.46,5625,0.99,NA,"other"
"9790","SHBG",0.45428,0.996646,-0.86867,-0.08,8151,0.99,NA,"other"
"9791","ME3",0.45445,0.996646,-0.022158,0.32,11018,0.99,NA,"other"
"9792","CUTC",0.45448,0.996646,-0.55765,0.06,9175,0.99,NA,"other"
"9793","ALX1",0.45456,0.996646,0.023011,0.47,12032,0.99,NA,"other"
"9794","ZNF143",0.45465,0.996646,-0.52131,0.19,10168,0.99,NA,"other"
"9795","OTOF",0.45475,0.996646,-1.8921,-0.19,7491,0.99,NA,"other"
"9796","BNIP2",0.45483,0.996646,-0.14215,-0.26,6938,0.99,NA,"other"
"9797","DIABLO",0.45492,0.996646,1.0033,1.17,15529,0.994,NA,"other"
"9798","VANGL2",0.45495,0.996646,-0.33328,0.56,12627,0.992,NA,"other"
"9799","NSFL1C",0.45497,0.996646,-1.622,-0.12,7910,0.99,NA,"other"
"9800","ACOT11",0.45511,0.996646,0.37852,0.6,12820,0.992,NA,"other"
"9801","HMGN1",0.45515,0.996646,-0.64472,0.18,10063,0.99,NA,"other"
"9802","FOXC2",0.45515,0.996646,-1.0127,-0.25,7036,0.99,NA,"other"
"9803","ATP6V0E1",0.45515,0.996646,-0.35781,0.06,9181,0.99,NA,"other"
"9804","ISLR",0.45522,0.996646,-2.5851,0.4,11560,0.99,NA,"other"
"9805","PHGR1",0.45532,0.996646,-0.19935,0.48,12071,0.99,NA,"other"
"9806","UBXN7",0.45532,0.996646,-2.8107,0.03,9009,0.99,NA,"other"
"9807","KLHL3",0.45536,0.996646,-1.7032,-0.79,3740,0.99,NA,"other"
"9808","MAATS1",0.45538,0.996646,-1.9062,0.43,11796,0.99,NA,"other"
"9809","PHF21B",0.45539,0.996646,-0.68613,-0.2,7439,0.99,NA,"other"
"9810","SLC4A11",0.45551,0.996646,-1.8467,-0.3,6679,0.99,NA,"other"
"9811","MOXD1",0.45563,0.996646,-1.6585,-0.37,6204,0.99,NA,"other"
"9812","PHF6",0.45568,0.996646,-1.3462,-0.4,6008,0.99,NA,"other"
"9813","11-Mar",0.45568,0.996646,0.32078,0.13,9680,0.99,NA,"other"
"9814","CTD-2616J11.4",0.4559,0.996646,-0.80904,-0.5,5372,0.99,NA,"other"
"9815","SMARCE1",0.45594,0.996646,-0.4023,0.15,9804,0.99,NA,"other"
"9816","XDH",0.45599,0.996646,-0.30964,-0.15,7681,0.99,NA,"other"
"9817","TREM1",0.45599,0.996646,-0.53173,0.66,13139,0.992,NA,"other"
"9818","C19orf43",0.456,0.996646,-1.7537,-0.16,7616,0.99,NA,"other"
"9819","WFIKKN2",0.45606,0.996646,-0.56804,-0.26,6977,0.99,NA,"other"
"9820","SHQ1",0.45607,0.996646,0.075899,0.48,12097,0.99,"Essential","Essential"
"9821","DAGLB",0.45614,0.996646,0.17335,0.95,14657,0.993,NA,"other"
"9822","CAMK2G",0.45617,0.996646,-0.5043,0.35,11233,0.99,NA,"other"
"9823","TRIM15",0.45626,0.996646,-0.6034,-0.24,7121,0.99,NA,"other"
"9824","IRGQ",0.45628,0.996646,-0.53041,-0.04,8449,0.99,NA,"other"
"9825","KLF9",0.45633,0.996646,-0.40817,0.13,9699,0.99,NA,"other"
"9826","SMARCAD1",0.45637,0.996646,-0.7432,0.39,11435,0.99,NA,"other"
"9827","TMEM129",0.45643,0.996646,-0.77873,-0.2,7435,0.99,NA,"other"
"9828","AC007431.1",0.45653,0.996646,-0.073549,0.22,10337,0.99,NA,"other"
"9829","HIST1H4L",0.45658,0.996646,-0.21733,0.29,10822,0.99,NA,"other"
"9830","MS4A6A",0.45669,0.996646,-1.4525,0.17,10036,0.99,NA,"other"
"9831","RNF187",0.45684,0.996646,0.35541,0.03,9002,0.99,NA,"other"
"9832","WLS",0.457,0.996646,-1.8168,-0.48,5484,0.99,NA,"other"
"9833","SGMS2",0.457,0.996646,-2.1663,-0.08,8167,0.99,NA,"other"
"9834","CTSS",0.45704,0.996646,-1.975,-0.38,6166,0.99,NA,"other"
"9835","WNT7B",0.4571,0.996646,-1.3372,-0.53,5209,0.99,NA,"other"
"9836","TEX11",0.45726,0.996646,-0.88474,0.03,9008,0.99,NA,"other"
"9837","SH3BGRL",0.45738,0.996646,-0.18915,0.36,11299,0.99,NA,"other"
"9838","CLINT1",0.45739,0.996646,-0.52266,0.04,9035,0.99,NA,"other"
"9839","GPR162",0.4574,0.996646,-0.80904,-0.54,5137,0.99,NA,"other"
"9840","SH3KBP1",0.45745,0.996646,-0.12783,0.16,9923,0.99,NA,"other"
"9841","ZIC4",0.45766,0.996646,-2.0069,-0.22,7245,0.99,NA,"other"
"9842","PLA2G3",0.45767,0.996646,-0.27759,0.21,10263,0.99,NA,"other"
"9843","SBK2",0.45768,0.996646,-1.185,-0.48,5492,0.99,NA,"other"
"9844","DDHD2",0.4578,0.996646,-0.13035,-0.36,6251,0.99,NA,"other"
"9845","SSR1",0.45787,0.996646,-0.68969,0.13,9723,0.99,NA,"other"
"9846","LRRC17",0.45798,0.996646,-2.1541,0.2,10215,0.99,NA,"other"
"9847","KIAA1279",0.45805,0.996646,-0.80904,1.05,15088,0.994,NA,"other"
"9848","MEGF10",0.45818,0.996646,0.93655,0.61,12873,0.992,NA,"other"
"9849","PGBD5",0.4582,0.996646,-2.1942,-0.38,6124,0.99,NA,"other"
"9850","MANEA",0.45833,0.996646,-1.1045,0.03,9011,0.99,NA,"other"
"9851","CHM",0.45841,0.996646,-0.41682,0.04,9054,0.99,NA,"other"
"9852","SIRPD",0.45846,0.996646,-0.32053,0.3,10840,0.99,NA,"other"
"9853","ZG16",0.45852,0.996646,1.1779,0.59,12760,0.992,"Nonessential","Nonessential"
"9854","RPN1",0.45879,0.996646,-0.27134,0.04,9038,0.99,"Essential","Essential"
"9855","GPR137B",0.45889,0.996646,-0.45678,0.26,10601,0.99,NA,"other"
"9856","GBP1",0.45891,0.996646,-1.1971,-0.28,6807,0.99,NA,"other"
"9857","ZNF239",0.45894,0.996646,-1.6516,-0.51,5336,0.99,NA,"other"
"9858","TNR",0.45897,0.996646,-1.5686,0.2,10218,0.99,NA,"other"
"9859","GP1BB",0.45907,0.996646,-0.77775,-0.14,7754,0.99,NA,"other"
"9860","ARHGAP5",0.45917,0.996646,0.12006,0.37,11352,0.99,NA,"other"
"9861","RBM4B",0.4592,0.996646,-0.68745,-0.09,8109,0.99,NA,"other"
"9862","BLK",0.45931,0.996646,-2.1379,-0.07,8242,0.99,NA,"other"
"9863","PDZD7",0.45931,0.996646,-2.4631,-0.44,5779,0.99,NA,"other"
"9864","OR10K1",0.45931,0.996646,-0.74412,1.21,15669,0.995,NA,"other"
"9865","PCNP",0.45934,0.996646,-1.1503,-0.02,8633,0.99,NA,"other"
"9866","FIGF",0.45934,0.996646,0.80639,1.54,16515,0.998,NA,"other"
"9867","OR2F2",0.45942,0.996646,-0.54182,0.24,10449,0.99,NA,"other"
"9868","MALL",0.45944,0.996646,-2.2826,-0.18,7536,0.99,NA,"other"
"9869","ADI1",0.45944,0.996646,-0.47342,-0.02,8616,0.99,NA,"other"
"9870","TRMT2A",0.45957,0.996646,-1.4958,-0.79,3702,0.99,NA,"other"
"9871","LRGUK",0.4596,0.996646,0.58842,0.92,14512,0.993,NA,"other"
"9872","DAXX",0.45961,0.996646,0.33198,0.22,10329,0.99,NA,"other"
"9873","SOHLH2",0.45968,0.996646,-1.3372,-0.16,7641,0.99,NA,"other"
"9874","ZNF20",0.45971,0.996646,-0.54178,0.57,12679,0.992,NA,"other"
"9875","OR2G2",0.45978,0.996646,-1.3808,0.63,12980,0.992,"Nonessential","Nonessential"
"9876","BHMT",0.45983,0.996646,-0.52131,-0.06,8352,0.99,NA,"other"
"9877","ASB15",0.45992,0.996646,-0.13369,0.68,13285,0.992,NA,"other"
"9878","RNF175",0.45992,0.996646,-0.24538,0.46,11957,0.99,NA,"other"
"9879","DCN",0.45992,0.996646,-1.0667,-0.37,6207,0.99,NA,"other"
"9880","OR7G2",0.45994,0.996646,-0.9933,-0.37,6181,0.99,"Nonessential","Nonessential"
"9881","TTC21B",0.45998,0.996646,-0.92464,-0.19,7479,0.99,NA,"other"
"9882","FAM89A",0.46028,0.996646,0.37273,0.5,12165,0.99,NA,"other"
"9883","ACCSL",0.46041,0.996646,-0.51865,0.26,10559,0.99,NA,"other"
"9884","TTC6",0.46046,0.996646,-0.52131,0.35,11218,0.99,NA,"other"
"9885","ABLIM1",0.46047,0.996646,-0.15071,0.75,13692,0.993,NA,"other"
"9886","DOK6",0.46062,0.996646,-1.1653,0.74,13624,0.993,NA,"other"
"9887","ZNF292",0.46062,0.996646,-0.799,0.26,10617,0.99,NA,"other"
"9888","SLC12A4",0.46066,0.996646,-0.21243,0.3,10876,0.99,NA,"other"
"9889","ST7",0.4607,0.996646,-2.2585,0.3,10893,0.99,NA,"other"
"9890","VPS16",0.4607,0.996646,-2.2585,-0.25,7075,0.99,NA,"other"
"9891","GLYATL2",0.4607,0.996646,-2.2585,-0.14,7727,0.99,NA,"other"
"9892","FES",0.46087,0.996646,-2.0226,-0.02,8630,0.99,NA,"other"
"9893","EREG",0.46102,0.996646,-0.26364,0.25,10540,0.99,NA,"other"
"9894","THNSL2",0.46103,0.996646,-0.34806,0.16,9884,0.99,NA,"other"
"9895","TPBGL",0.46118,0.996646,-1.0777,0.54,12471,0.991,NA,"other"
"9896","PPFIBP2",0.46129,0.996646,-0.42868,0.15,9840,0.99,NA,"other"
"9897","NARS2",0.46135,0.996646,-1.1998,-0.2,7426,0.99,"Essential","Essential"
"9898","POC1A",0.46138,0.996646,-1.4132,-0.43,5829,0.99,NA,"other"
"9899","POMGNT2",0.46151,0.996646,-1.9294,-0.17,7583,0.99,NA,"other"
"9900","DLGAP2",0.46153,0.996646,-0.52131,-0.12,7882,0.99,NA,"other"
"9901","MTERFD1",0.4616,0.996646,-0.24816,1.07,15174,0.994,NA,"other"
"9902","OIT3",0.4616,0.996646,-0.72403,0.62,12933,0.992,NA,"other"
"9903","BEND5",0.4616,0.996646,-0.4748,0.68,13259,0.992,NA,"other"
"9904","PTPLAD1",0.4616,0.996646,-0.69577,1.02,14947,0.993,NA,"other"
"9905","CHAF1B",0.4616,0.996646,-0.26049,0.03,8989,0.99,NA,"other"
"9906","C3orf65",0.46162,0.996646,-2.2529,-0.79,3747,0.99,NA,"other"
"9907","GMNC",0.46162,0.996646,-2.6627,0.2,10237,0.99,NA,"other"
"9908","ACTN4",0.46171,0.996646,0.0057353,1.11,15313,0.994,NA,"other"
"9909","NPRL2",0.46175,0.996646,-0.80904,-0.28,6842,0.99,NA,"other"
"9910","PWP1",0.46192,0.996646,-0.50655,0.4,11530,0.99,NA,"other"
"9911","C21orf88",0.46197,0.996646,0.071873,0.23,10406,0.99,NA,"other"
"9912","GSX2",0.46199,0.996646,-0.66022,-0.25,7006,0.99,NA,"other"
"9913","MUT",0.462,0.996646,-1.6909,-0.08,8214,0.99,NA,"other"
"9914","S100G",0.46207,0.996646,-2.3516,-0.02,8576,0.99,NA,"other"
"9915","THOP1",0.46215,0.996646,-1.3771,0.24,10487,0.99,NA,"other"
"9916","USP38",0.46219,0.996646,-0.468,-0.56,5032,0.99,NA,"other"
"9917","TNMD",0.46227,0.996646,-0.15729,0.39,11434,0.99,NA,"other"
"9918","SCFD2",0.46232,0.996646,-0.69868,0.06,9152,0.99,NA,"other"
"9919","SUV39H2",0.46246,0.996646,-1.8367,-0.59,4807,0.99,NA,"other"
"9920","AMBP",0.46256,0.996646,-0.38667,0.23,10422,0.99,NA,"other"
"9921","SGCG",0.46283,0.996646,0.054365,0.45,11881,0.99,NA,"other"
"9922","PTGR2",0.4629,0.996646,0.47251,2.06,17191,1,NA,"other"
"9923","CXorf57",0.46292,0.996646,-0.48197,0.03,9025,0.99,NA,"other"
"9924","KIAA1377",0.46306,0.996646,-0.26658,0.26,10602,0.99,NA,"other"
"9925","FOXRED1",0.46322,0.996646,-0.6512,0.09,9416,0.99,NA,"other"
"9926","RBPMS2",0.46325,0.996646,-1.7376,-0.08,8222,0.99,NA,"other"
"9927","REV3L",0.46325,0.996646,-1.0566,0.14,9741,0.99,NA,"other"
"9928","IFNB1",0.46345,0.996646,-0.094314,0.68,13281,0.992,NA,"other"
"9929","BLOC1S1",0.46358,0.996646,-1.6722,-0.46,5662,0.99,NA,"other"
"9930","ACTL7B",0.46362,0.996646,-2.3017,-0.62,4627,0.99,NA,"other"
"9931","INTS9",0.4637,0.996646,-2.6575,0.17,9990,0.99,NA,"other"
"9932","R3HDML",0.4637,0.996646,-2.6575,0.17,9991,0.99,NA,"other"
"9933","PCDHB12",0.4637,0.996646,-2.6575,0.17,9992,0.99,NA,"other"
"9934","SLU7",0.46373,0.996646,0.81938,0.02,8888,0.99,"Essential","Essential"
"9935","LRRC49",0.46373,0.996646,-0.38395,0,8788,0.99,NA,"other"
"9936","BBS10",0.46399,0.996646,0.35541,-0.06,8286,0.99,NA,"other"
"9937","GABRG2",0.46402,0.996646,-2.0387,0,8802,0.99,NA,"other"
"9938","HELB",0.46415,0.996646,-1.3372,-0.72,4090,0.99,NA,"other"
"9939","MGST3",0.46424,0.996646,-0.80904,0.53,12422,0.991,NA,"other"
"9940","RBL1",0.46437,0.996646,-0.64548,0.53,12447,0.991,NA,"other"
"9941","PSIP1",0.46437,0.996646,-0.97797,0.47,11996,0.99,NA,"other"
"9942","CXorf58",0.46448,0.996646,-2.301,-0.05,8415,0.99,NA,"other"
"9943","PRH2",0.46452,0.996646,0.24987,1.12,15356,0.994,NA,"other"
"9944","CCDC148",0.46497,0.996646,-2.5404,-0.35,6369,0.99,NA,"other"
"9945","C1orf228",0.46497,0.996646,-2.3541,-0.29,6716,0.99,NA,"other"
