Gene,label
RPL11,Essential_Gene
SMR3B,Essential_Gene
RMI1,Essential_Gene
ILF3,Essential_Gene
IMP4,Essential_Gene
HAPLN2,Essential_Gene
ATP5PD,Essential_Gene
TRAPPC3,Essential_Gene
NAPA,Essential_Gene
ALG14,Essential_Gene
ELP1,Essential_Gene
KARS1,Essential_Gene
GINS1,Essential_Gene
PSMA5,Essential_Gene
PMF1,Essential_Gene
CCNA2,Essential_Gene
PTCD3,Essential_Gene
C19orf52,Essential_Gene
POLR2I,Essential_Gene
UBL5,Essential_Gene
KIF18A,Essential_Gene
SUPT5H,Essential_Gene
MRPL35,Essential_Gene
RSRC2,Essential_Gene
MZT1,Essential_Gene
SRP68,Essential_Gene
CHMP3,Essential_Gene
ANKRD65,Essential_Gene
MCM7,Essential_Gene
RNF20,Essential_Gene
SCFD1,Essential_Gene
TWISTNB,Essential_Gene
RAD51D,Essential_Gene
HNRNPA1L2,Essential_Gene
GEMIN6,Essential_Gene
BANF1,Essential_Gene
TNPO3,Essential_Gene
TUBB,Essential_Gene
EWSR1,Essential_Gene
EBNA1BP2,Essential_Gene
CTCF,Essential_Gene
FEN1,Essential_Gene
SEC61B,Essential_Gene
HIST2H2AB,Essential_Gene
OPA1,Essential_Gene
RPL28,Essential_Gene
TTC1,Essential_Gene
BRD4,Essential_Gene
PSMA4,Essential_Gene
DDX51,Essential_Gene
INTS3,Essential_Gene
HIST1H2AM,Essential_Gene
SUMO2,Essential_Gene
DNTTIP2,Essential_Gene
GTF3C2,Essential_Gene
RPLP0,Essential_Gene
PTPN23,Essential_Gene
SPCS3,Essential_Gene
ALG1,Essential_Gene
THAP5,Essential_Gene
CSNK1A1,Essential_Gene
SF3B5,Essential_Gene
PHB,Essential_Gene
C1D,Essential_Gene
PLEKHM1,Essential_Gene
NUDC,Essential_Gene
NHP2,Essential_Gene
VARS,Essential_Gene
SMG1,Essential_Gene
PRPF4,Essential_Gene
POLRMT,Essential_Gene
ANAPC4,Essential_Gene
EIF4A1,Essential_Gene
PSMD11,Essential_Gene
UBQLN4,Essential_Gene
PSMC2,Essential_Gene
ADAT3,Essential_Gene
SON,Essential_Gene
NCBP2,Essential_Gene
NOC4L,Essential_Gene
RPL37,Essential_Gene
NPM1,Essential_Gene
SPRTN,Essential_Gene
ZMAT2,Essential_Gene
NOC2L,Essential_Gene
TOP3A,Essential_Gene
CPSF2,Essential_Gene
UROD,Essential_Gene
SMARCA5,Essential_Gene
NAA25,Essential_Gene
METTL17,Essential_Gene
TOX4,Essential_Gene
POLR2B,Essential_Gene
MXRA7,Essential_Gene
MED30,Essential_Gene
IFITM3,Essential_Gene
TRAIP,Essential_Gene
GSDMA,Essential_Gene
SCD,Essential_Gene
EIF4G2,Essential_Gene
POLR2G,Essential_Gene
NDUFA2,Essential_Gene
RARS1,Essential_Gene
TIMM9,Essential_Gene
RTFDC1,Essential_Gene
HIST1H2AH,Essential_Gene
RFC5,Essential_Gene
AP2S1,Essential_Gene
ATXN10,Essential_Gene
ATP5J2,Essential_Gene
BTF3,Essential_Gene
UBE2L3,Essential_Gene
LAS1L,Essential_Gene
UTP23,Essential_Gene
PMPCB,Essential_Gene
NELFA,Essential_Gene
FCF1,Essential_Gene
TAF1C,Essential_Gene
UQCRB,Essential_Gene
ABCF1,Essential_Gene
NCAPG,Essential_Gene
NOB1,Essential_Gene
NDC80,Essential_Gene
DDX10,Essential_Gene
VPS51,Essential_Gene
TSFM,Essential_Gene
C1orf86,Essential_Gene
PES1,Essential_Gene
TICRR,Essential_Gene
FBXL6,Essential_Gene
FOXD4,Essential_Gene
PYM1,Essential_Gene
MRPL37,Essential_Gene
MCRS1,Essential_Gene
CHMP4B,Essential_Gene
ACIN1,Essential_Gene
COX5A,Essential_Gene
MRPL53,Essential_Gene
NOL11,Essential_Gene
NUP93,Essential_Gene
TBCA,Essential_Gene
HIGD2A,Essential_Gene
NCBP1,Essential_Gene
MCCD1,Essential_Gene
CHAF1A,Essential_Gene
TDGF1,Essential_Gene
PPARGC1B,Essential_Gene
MEAF6,Essential_Gene
SNF8,Essential_Gene
C18orf21,Essential_Gene
GABPA,Essential_Gene
TMA16,Essential_Gene
MKRN1,Essential_Gene
ATP5C1,Essential_Gene
MED14,Essential_Gene
RPP21,Essential_Gene
NOLC1,Essential_Gene
PLK4,Essential_Gene
PDCD11,Essential_Gene
RPL36A,Essential_Gene
CUL3,Essential_Gene
YARS1,Essential_Gene
THAP11,Essential_Gene
LAMTOR4,Essential_Gene
KIAA1143,Essential_Gene
MTBP,Essential_Gene
ENSA,Essential_Gene
TSEN2,Essential_Gene
DRAP1,Essential_Gene
MRPS16,Essential_Gene
CNOT7,Essential_Gene
DHX38,Essential_Gene
ZBTB11,Essential_Gene
ALG2,Essential_Gene
RTF1,Essential_Gene
TOMM40,Essential_Gene
YJU2,Essential_Gene
CCNB1,Essential_Gene
PLRG1,Essential_Gene
MRPS18B,Essential_Gene
PSMA7,Essential_Gene
SRBD1,Essential_Gene
RRP1,Essential_Gene
HMGB1,Essential_Gene
PFDN1,Essential_Gene
UBE2S,Essential_Gene
CTU1,Essential_Gene
