sgRNA	Gene	HT29-Reference	HT29-Baseline	HT29-D1	HT29-D2	HT29-80-1	HT29-80-2
sg_23380_1	SRGAP2	1522	1293	1217	1301	668	569
sg_8637_2	EIF4EBP3	1155	965	484	519	101	133
sg_386617_3	KCTD8	2543	2030	1488	1359	1170	1413
sg_131368_2	ZPLD1	2711	2779	3023	2224	1606	1754
sg_11011_3	TLK2	5329	4339	2347	1942	5001	5249
sg_5911_1	RAP2A	2127	1803	1376	1416	577	352
sg_25920_1	NELFB	7253	5066	1110	1032	1241	2057
sg_200030_1	NBPF11	1923	1576	2064	1349	1014	1164
sg_90525_3	SHF	577	578	391	337	270	210
sg_90075_3	ZNF30	1221	900	905	572	354	305
sg_53904_3	MYO3A	4992	4825	4941	3640	3591	3029
sg_9314_2	KLF4	1423	1225	1501	886	1538	1722
sg_8775_4	NAPA	5240	1343	803	430	642	520
sg_283298_2	OLFML1	3055	2662	2757	2518	3274	1428
sg_646754_3	TRIM64C	1989	1157	446	652	457	269
sg_8986_2	RPS6KA4	4653	3726	3586	2599	3635	3585
sg_2819_2	GPD1	1474	1735	1361	1392	1018	570
sg_10411_2	RAPGEF3	1716	1570	2113	1205	5236	7782
sg_51333_1	ZNF771	5724	4856	4683	3872	6720	4091
sg_5866_2	RAB3IL1	1810	1716	1451	1442	1638	1168
sg_27076_4	LYPD3	3194	2714	2986	2058	2197	2181
sg_339665_2	SLC35E4	1134	923	1219	761	439	372
sg_254240_3	BPIFC	1473	1176	1163	759	243	785
sg_55352_2	COPRS	2595	1539	1946	1185	2220	941
sg_51326_1	ARL17A	2066	1552	1469	1383	2313	4092
sg_9921_2	RNF10	2962	1891	1711	1182	1689	664
sg_9610_4	RIN1	1624	1040	1573	687	2299	991
sg_57703_2	CWC22	1468	1257	662	855	1089	669
sg_129787_3	TMEM18	1597	1313	1168	1036	247	270
