sgrna,gene
sg_51642_2,MRPL48
sg_10625_4,IVNS1ABP
sg_79605_4,PGBD5
sg_55502_2,HES6
sg_728343_1,NXF2B
sg_92689_2,FAM114A1
sg_222537_3,HS3ST5
sg_6789_1,STK4
sg_6038_4,RNASE4
sg_388468_2,POTEC
sg_220064_1,ORAOV1
sg_11147_2,HHLA3
sg_79077_1,DCTPP1
sg_4324_1,MMP15
sg_NTC_692,Non_Targeting_Control_692
sg_22_2,ABCB7
sg_51807_2,TUBA8
sg_65266_2,WNK4
sg_151887_3,CCDC80
sg_5810_1,RAD1
sg_3615_1,IMPDH2
sg_79441_2,HAUS3
sg_6829_3,SUPT5H
sg_93190_3,C1orf158
sg_54970_1,TTC12
sg_4092_1,SMAD7
sg_124602_2,KIF19
sg_57480_2,PLEKHG1
sg_342667_4,STAC2
sg_5534_4,PPP3R1
sg_79758_1,DHRS12
sg_58493_2,INIP
sg_245940_1,DEFB130
sg_6996_1,TDG
sg_84109_2,QRFPR
sg_2900_3,GRIK4
sg_84871_2,AGBL4
sg_1777_2,DNASE2
sg_51520_4,LARS
sg_83982_3,IFI27L2
sg_390439_3,OR11G2
sg_10579_4,TACC2
sg_54854_4,FAM83E
sg_100191040_3,C2CD4D
sg_51807_3,TUBA8
sg_66004_2,LYNX1
sg_11255_4,HRH3
sg_345_1,APOC3
sg_1908_1,EDN3
sg_9877_2,ZC3H11A
sg_961_3,CD47
sg_84922_4,FIZ1
sg_59335_1,PRDM12
sg_23335_3,WDR7
sg_25921_2,ZDHHC5
sg_NTC_162,Non_Targeting_Control_162
sg_1837_4,DTNA
sg_286_3,ANK1
sg_55687_3,TRMU
sg_390927_1,ZNF793
sg_130576_1,LYPD6B
sg_53947_1,A4GALT
sg_124535_3,HSF5
sg_27042_1,DIEXF
sg_55356_4,SLC22A15
sg_6884_3,TAF13
sg_63941_2,NECAB3
sg_252995_3,FNDC5
sg_126308_1,MOB3A
sg_4053_3,LTBP2
sg_10804_1,GJB6
sg_51438_1,MAGEC2
sg_10329_1,TMEM5
sg_151_2,ADRA2B
sg_26953_1,RANBP6
sg_NTC_696,Non_Targeting_Control_696
sg_286676_4,ILDR1
sg_4259_2,MGST3
sg_9902_2,MRC2
sg_2786_4,GNG4
sg_64215_3,DNAJC1
sg_2253_3,FGF8
sg_642799_2,NPIPA2
sg_23639_1,LRRC6
sg_50512_1,PODXL2
sg_9070_3,ASH2L
sg_35_3,ACADS
sg_3579_2,CXCR2
sg_440561_3,PRAMEF6
sg_27151_1,CPAMD8
sg_123803_2,NTAN1
sg_1152_1,CKB
sg_477_1,ATP1A2
sg_NTC_52,Non_Targeting_Control_52
sg_8202_3,NCOA3
sg_8646_2,CHRD
sg_2645_2,GCK
sg_11069_4,RAPGEF4
sg_57191_1,VN1R1
sg_643853_2,TMPPE
sg_3679_1,ITGA7
sg_728229_1,TMEM191B
sg_8629_2,JRK
sg_84253_4,GARNL3
sg_138307_3,LCN8
sg_3217_1,HOXB7
sg_55635_2,DEPDC1
sg_55608_2,ANKRD10
sg_84624_1,FNDC1
sg_3913_1,LAMB2
sg_653499_4,LGALS7B
sg_100506164_1,HSFX1
sg_4976_1,OPA1
sg_NTC_133,Non_Targeting_Control_133
sg_343169_3,OR6F1
sg_56648_4,EIF5A2
sg_728072_1,CT47A5
sg_128826_2,MIR1-1HG
sg_199953_2,TMEM201
sg_11283_4,CYP4F8
sg_80012_1,PHC3
sg_100528021_2,ST20-MTHFS
sg_10636_4,RGS14
sg_4716_1,NDUFB10
sg_84937_1,ZNRF1
sg_339210_3,C17orf67
sg_152831_1,KLB
sg_8074_1,FGF23
sg_3597_4,IL13RA1
sg_23117_2,NPIPB3
sg_5495_3,PPM1B
sg_23640_1,HSPBP1
sg_100188893_3,TOMM6
sg_3218_4,HOXB8
sg_51447_3,IP6K2
sg_80267_4,EDEM3
sg_5824_4,PEX19
sg_55651_4,NHP2
sg_3071_4,NCKAP1L
sg_120065_1,OR5P2
sg_285521_1,COX18
sg_127544_1,RNF19B
sg_340596_1,LHFPL1
sg_29107_2,NXT1
sg_144321_4,GLIPR1L2
sg_6692_1,SPINT1
sg_54505_1,DHX29
sg_390154_3,OR5T3
sg_9716_1,AQR
sg_23184_4,MESDC2
sg_10728_4,PTGES3
sg_54531_1,MIER2
sg_37_4,ACADVL
